PRACTICE_CODE,GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PRACTICE_LIST_SIZE
A81001,AF,96.0,TOTAL,4045
A81001,AST,306.0,06OV,3806
A81001,CAN,141.0,TOTAL,4045
A81001,CHD,154.0,TOTAL,4045
A81001,CKD,106.0,18OV,3219
A81001,COPD,104.0,TOTAL,4045
A81001,DEM,26.0,TOTAL,4045
A81001,DEP,310.0,18OV,3219
A81001,DM,304.0,17OV,3264
A81001,EP,37.0,18OV,3219
A81001,HF,55.0,TOTAL,4045
A81001,HYP,590.0,TOTAL,4045
A81001,LD,27.0,TOTAL,4045
A81001,MH,49.0,TOTAL,4045
A81001,NDH,119.0,18OV,3219
A81001,OB,259.0,18OV,3219
A81001,OST,11.0,50OV,1697
A81001,PAD,36.0,TOTAL,4045
A81001,PC,41.0,TOTAL,4045
A81001,RA,25.0,16OV,3319
A81001,STIA,101.0,TOTAL,4045
A81002,AF,505.0,TOTAL,18490
A81002,AST,1313.0,06OV,17531
A81002,CAN,679.0,TOTAL,18490
A81002,CHD,873.0,TOTAL,18490
A81002,CKD,951.0,18OV,15056
A81002,COPD,629.0,TOTAL,18490
A81002,DEM,205.0,TOTAL,18490
A81002,DEP,2883.0,18OV,15056
A81002,DM,1265.0,17OV,15241
A81002,EP,152.0,18OV,15056
A81002,HF,227.0,TOTAL,18490
A81002,HYP,3290.0,TOTAL,18490
A81002,LD,100.0,TOTAL,18490
A81002,MH,155.0,TOTAL,18490
A81002,NDH,937.0,18OV,15056
A81002,OB,2177.0,18OV,15056
A81002,OST,125.0,50OV,8426
A81002,PAD,173.0,TOTAL,18490
A81002,PC,94.0,TOTAL,18490
A81002,RA,122.0,16OV,15444
A81002,STIA,496.0,TOTAL,18490
A81004,AF,275.0,TOTAL,11104
A81004,AST,653.0,06OV,10303
A81004,CAN,389.0,TOTAL,11104
A81004,CHD,393.0,TOTAL,11104
A81004,CKD,435.0,18OV,8779
A81004,COPD,282.0,TOTAL,11104
A81004,DEM,100.0,TOTAL,11104
A81004,DEP,918.0,18OV,8779
A81004,DM,660.0,17OV,8896
A81004,EP,80.0,18OV,8779
A81004,HF,106.0,TOTAL,11104
A81004,HYP,1629.0,TOTAL,11104
A81004,LD,91.0,TOTAL,11104
A81004,MH,73.0,TOTAL,11104
A81004,NDH,800.0,18OV,8779
A81004,OB,1388.0,18OV,8779
A81004,OST,46.0,50OV,4134
A81004,PAD,59.0,TOTAL,11104
A81004,PC,67.0,TOTAL,11104
A81004,RA,74.0,16OV,9040
A81004,STIA,246.0,TOTAL,11104
A81005,AF,245.0,TOTAL,8082
A81005,AST,512.0,06OV,7708
